 ,BTC,ETH,ETC,LSK,FCT,XMR,REP,XRP,ZEC,XEM,LTC,DASH,BCH,BNB,USDT
2017/01/01,117353,995.15,175.08,19.021,346.78,1643.5,460.93,0.777,5742.4,0.433,531.61,1376.8,,,117.1535
2017/01/02,121865,972,166.65,18.793,344.41,1722.6,471.28,0.752,5849.5,0.411,551.2,1385.6,,,117.6045
2017/01/03,122160,1068.2,181.62,18.782,378.95,1999.1,498.99,0.767,5829.8,0.415,540.85,1524.7,,,117.4755
2017/01/04,132511,1282.3,189.36,20.468,426.25,2079.1,569.8,0.807,6457.7,0.431,562.54,1931.5,,,116.2715
2017/01/05,112490,1140.6,185.73,17.632,362.22,1802.1,503.8,0.73,5743.2,0.422,510.39,1601.2,,,116.1365
2017/01/06,108999,1199,173.84,16.825,349.86,1687.1,534.76,0.777,5724.1,0.401,472.32,1605.7,,,116.1365
2017/01/07,108300,1216.5,174.86,17.245,330.76,1620.3,581.58,0.754,5589.4,0.404,482.48,1484.8,,,116.1365
2017/01/08,110480,1222.7,175.03,17.405,350.11,1648.9,551.6,0.768,5532.3,0.405,481.15,1527.9,,,116.512
2017/01/09,106023,1272.3,169.23,17.521,349.88,1549.9,516.66,0.727,5385.1,0.419,464.4,1484,,,115.876
2017/01/10,106969,1242.8,169.01,18.293,345.51,1615.6,496.36,0.774,5347.4,0.423,530.35,1497.5,,,115.575
2017/01/11,96305,1172.6,147.44,17.239,308.55,1422.5,449,0.796,4933.4,0.395,469.59,1372.3,,,115.0445
2017/01/12,89332,1088.8,134.59,15.39,319.33,1306,429.92,0.773,5200.9,0.396,454.01,1324.8,,,114.588
2017/01/13,93511,1107.6,139.44,16.318,320.74,1331.1,477.73,0.749,5012.2,0.424,457.16,1402.7,,,114.588
2017/01/14,94942,1102.3,137.44,16.664,326.13,1333.9,492.73,0.774,4938.9,0.419,450.02,1431.3,,,114.588
2017/01/15,94127,1126.4,136.11,18.615,316.97,1174.7,470.63,0.789,5021.7,0.416,446.92,1411,,,114.2535
2017/01/16,95620,1113.9,136.84,17.838,345.43,1198.7,468.39,0.786,5020.1,0.427,447.82,1455.2,,,113.3975
2017/01/17,101298,1163.7,137.98,17.964,352.41,1316.3,489.08,0.766,5086.5,0.409,448.79,1610.9,,,113.634
2017/01/18,98540,1139.9,132.88,17.596,333.11,1337.8,471.43,0.762,4813.6,0.399,439.2,1552.6,,,114.7535
2017/01/19,101967,1169,132.68,17.869,342.63,1370,506.6,0.772,4997.3,0.41,447.25,1695.2,,,114.726
2017/01/20,103009,1213.2,146.27,17.8,337.43,1377.2,511.4,0.772,5000.6,0.421,448.75,1747.1,,,114.726
2017/01/21,105998,1261.4,164.19,18.232,331.95,1388.6,523.38,0.765,5086.4,0.423,447.23,1731.6,,,114.726
2017/01/22,105149,1232.7,159.61,17.713,350.07,1381.7,519.54,0.781,5065.8,0.426,445.89,1771.8,,,113.4895
2017/01/23,105991,1235.6,158.48,17.753,381.57,1402,534.46,0.772,4943.4,0.43,440.18,1748.2,,,113.2275
2017/01/24,103547,1208.3,156.35,17.095,370.91,1363.7,486.26,0.756,4808.1,0.428,433.75,1613,,,113.5355
2017/01/25,101980,1195,148.89,16.802,380.31,1338.1,490.26,0.744,4595.4,0.454,425.36,1587.4,,,113.896
2017/01/26,104438,1206.8,153.63,16.759,384.48,1372.3,493.63,0.739,4733.8,0.589,432.1,1678,,,113.896
2017/01/27,105798,1208.2,147.54,18.011,373.55,1355.3,504.02,0.738,4439.3,0.581,436.01,1745.6,,,113.896
2017/01/28,106154,1208.9,149.66,18.013,385.09,1483.9,482.22,0.729,4394.8,0.583,445.02,1744.8,,,114.798
2017/01/29,106012,1208.5,149.24,17.742,381.33,1443.9,486.71,0.728,4433.4,0.598,443.92,1750.1,,,114.25
2017/01/30,105903,1204.4,149.54,18.241,397.12,1463.5,489.68,0.726,4517.8,0.588,445.75,1828.3,,,113.281
2017/01/31,107500,1193,153.68,18.117,385.7,1477.6,474.13,0.715,4446,0.587,455.81,1819.6,,,113.0143305
2017/02/01,111271,1206.7,153.9,18.582,393,1484.6,476.57,0.764,4542.1,0.618,460.81,1803.8,,,113.017274
2017/02/02,113692,1214.9,154.91,17.764,394.34,1526.2,485.59,0.741,4533.4,0.667,461.34,1822,,,112.6961056
2017/02/03,117000,1242.5,155.85,18.136,397.27,1449.3,483.37,0.739,4422.8,0.749,461.63,1975.1,,,112.6960492
2017/02/04,116711,1309.7,157.23,18.676,402.54,1481.9,483.83,0.741,4386.4,0.81,455.3,1984.1,,,112.696331
2017/02/05,117114,1293.2,154.88,18.752,395.85,1462.1,474.1,0.741,4368.9,0.731,452.06,1922.6,,,112.0898879
2017/02/06,117577,1294.5,168.27,18.194,397.06,1452.3,473.32,0.731,4269.2,0.685,454.41,1911.8,,,112.0568319
2017/02/07,119608,1304.9,167.95,18.528,395.72,1434.7,477.46,0.726,4097.8,0.764,451.44,1970.4,,,112.1578318
2017/02/08,120760,1299,163.8,18.581,431.72,1453.3,515.97,0.741,4078.4,0.768,457.56,1955.1,,,112.5803874
2017/02/09,112000,1252.7,146.82,16.992,379.68,1395.5,493.76,0.726,3825.2,0.724,423.37,1861.1,,,113.2103868
2017/02/10,110725,1259.9,140.08,16.668,361.75,1357.4,479.46,0.709,3688.9,0.701,429.62,1895.2,,,113.2103868
2017/02/11,114891,1284.9,139.71,17.178,381.4,1397.3,500.18,0.72,3795.3,0.758,434.21,1933.2,,,113.2103868
2017/02/12,114371,1292.3,139.53,17.129,381.98,1395.3,500.84,0.721,3661.1,0.793,429.24,1927.2,,,113.6333864
2017/02/13,115300,1304.5,138.1,16.911,378.21,1417.6,501.26,0.73,3535.9,0.766,434.89,1960.7,,,113.985443
2017/02/14,116819,1455.9,142.56,16.891,372.25,1435.7,527.44,0.729,3610.9,0.776,434.31,1998.6,,,114.2005
2017/02/15,117550,1487,145.82,16.874,400.66,1589.3,566.68,0.719,3672.3,0.808,443.65,2269.3,,,113.6895
2017/02/16,118880,1487.8,143.84,16.555,395.99,1554.9,588.61,0.724,3914.4,0.813,451.44,2276.5,,,113.056
2017/02/17,121485,1474.6,143.1,16.75,381.21,1537.7,590.37,0.696,3715.7,0.816,444.6,2302.1,,,113.056
2017/02/18,121447,1463.4,140.31,16.274,366.21,1524.6,566.96,0.649,3568.5,0.775,443.33,2395.6,,,113.056
2017/02/19,121347,1477.5,140.7,16.017,376.18,1522.3,593.21,0.677,3522.8,0.728,438.05,2599.2,,,112.9717381
2017/02/20,121800,1465.7,139.23,15.615,358.92,1429.9,592.58,0.657,3497.5,0.737,434.56,2542.5,,,113.3729909
2017/02/21,127205,1466.7,141.32,14.953,345.82,1389.1,547.07,0.665,3441.3,0.725,441.08,2481.8,,,113.4792106
2017/02/22,129863,1466.9,139.91,14.827,346.73,1441.2,547.6,0.673,3315.8,0.743,445.67,2576.5,,,112.9417027
2017/02/23,132083,1468.9,139.02,15.789,346.14,1468.9,569.84,0.67,3088,0.766,447.41,2792.9,,,112.371702
2017/02/24,137025,1507.4,141.3,16.111,330.78,1397.7,519.52,0.641,3651.7,0.79,447.78,3179,,,112.3732191
2017/02/25,134484,1573.5,139.23,15.314,343.03,1395.3,560.78,0.656,3400.7,0.749,448.69,2974.8,,,112.3733876
2017/02/26,134404,1572.7,142.33,15.117,333.58,1390.2,562.22,0.653,3361.6,0.751,446.22,3160.3,,,112.41
2017/02/27,134472,1667.5,141.13,14.012,334.12,1380.2,546.9,0.637,3655.6,0.736,439.8,3201.1,,,112.7325
2017/02/28,137009,1782.5,142.03,13.017,340.47,1365.3,530.65,0.636,4384.7,0.785,440.03,3795.1,,,113.2423013
2017/03/01,141432,1817.4,145.25,13.232,350.51,1451.9,548.09,0.629,4603.2,0.912,448.42,4424,,,114.0752888
2017/03/02,145258,2150.4,157.91,12.062,364.58,1564.8,672.07,0.671,4764.5,0.998,451.07,6502.9,,,114.2434429
2017/03/03,149799,2245.5,166.3,12.779,362.26,1698.7,673.64,0.718,4571.1,1.025,472.39,5126.8,,,114.2435
2017/03/04,148188,2266.8,164.27,13.859,361.71,1616,673.78,0.742,4750.9,1.092,467.1,5495,,,114.2435
2017/03/05,147019,2224.4,161.65,14.28,362.49,1667,700.27,0.712,4580.1,1.235,460.2,4982.5,,,113.898
2017/03/06,148589,2289,164.79,14.357,369.39,1758.7,694.47,0.704,4528.3,1.284,465.95,5170.9,,,113.928
2017/03/07,145069,2224.1,160.04,13.927,373.62,1685,688.59,0.717,4546,1.301,467.8,5411.1,,,114.141
2017/03/08,139971,2064.3,153.98,13.713,348.75,1562.3,656.27,0.778,4269.1,1.155,459.1,5181.7,,,114.6345
2017/03/09,137802,1976.4,151.65,13.915,340.09,1502.7,640.5,0.766,4224.1,1.075,455.18,5644.9,,,114.8716008
2017/03/10,145258,2113.9,152.49,13.366,322.79,1462.8,635.42,0.726,4168.9,1.03,452.79,6115.4,,,114.870969
2017/03/11,139150,2343.3,156.4,13.443,335.35,1594,709.8,0.717,4389.8,1.177,447.09,7792.4,,,114.8764831
2017/03/12,140342,2541.6,161.11,13.754,361.62,1796.1,776.71,0.721,4501.2,1.179,452.2,7926.7,,,114.798
2017/03/13,144380,3580.6,180.33,14.748,492.33,2271.7,975.03,0.732,5277.1,1.263,506.76,9300.2,,,114.806
2017/03/14,145321,3207.2,190.54,18.742,443.07,2026.5,974.89,0.73,5086.4,1.356,484.95,8886.7,,,114.0485
2017/03/15,145284,3574.1,196.15,17.216,432.22,2121.1,1064.9,0.734,5238.1,1.284,486.99,11373,,,113.346
2017/03/16,141397,4501.9,217.05,22.885,456.85,2502,1099.5,0.714,5472.1,1.297,506.21,10285,,,113.0035
2017/03/17,135253,5369.5,222.07,20.085,457.04,2717.2,1056.7,0.718,5692.1,1.28,501.31,11244,,,113.0035
2017/03/18,116490,4260,192.48,18.921,383.25,2284.4,878.45,0.747,7187.4,1.371,457.65,12802,,,113.0035
2017/03/19,116152,4402.2,208.22,20.906,405.75,2729.6,860.68,0.814,8386.2,1.647,460.36,11615,,,112.6265
2017/03/20,121055,5119.4,220.53,26.973,410.58,2791.8,988.53,0.79,9059.2,1.805,463.64,12372,,,112.1305
2017/03/21,125402,5006,232.11,41.307,420.1,2550.9,998.03,0.796,7809.9,1.731,465.15,11474,,,111.4375
2017/03/22,115603,4482.5,260.29,30.101,386.56,2376.8,890.61,0.832,7392.9,1.762,445.07,11410,,,111.0365
2017/03/23,117495,4626.4,258.61,32.019,392.7,2364.2,1012.3,0.887,7512.6,1.732,445.54,11195,,,111.0925
2017/03/24,110065,5212.2,263.92,31.494,436.92,2334.5,1060.3,1.103,7493.7,1.632,459.05,11602,,,111.0867232
2017/03/25,104999,5466.9,258.12,30.45,393.18,2254,998.1,1.028,7013.9,1.352,449.92,10589,,,111.0821684
2017/03/26,109225,5565,255,30.042,382.29,2178.6,961.02,1.027,6744.4,1.494,453.01,10362,,,110.7817916
2017/03/27,114129,5558.7,248.91,32.868,398.03,2147,987.4,1.084,6645.7,1.483,462.8,9646.2,,,110.888
2017/03/28,118385,5639.3,249.08,33.309,413.63,2127.3,1018.2,1.051,7499.2,1.43,472.54,10063,,,111.0875
2017/03/29,117234,5787.5,257.87,34.36,486.52,2204.6,1040.2,1.093,7151.3,1.612,469.64,9413.9,,,111.4605462
2017/03/30,115662,5893,266.02,36.806,509.03,2268,1073,1.364,6963.4,1.538,781.76,8501.2,,,111.6443156
2017/03/31,118855,5503.1,310.66,34.847,433.23,2282.3,1271.3,2.199,6917.4,1.674,677.47,7844.5,,,111.6471626
2017/04/01,122115,5667.5,311.02,33.705,439.52,2215.1,1474.9,2.446,7181.5,1.936,824.28,7941.1,,,111.6248889
2017/04/02,122190,5630.9,302.63,32.991,467.45,2256.8,1422.5,4.477,6885.5,1.975,900.5,7489,,,111.1062739
2017/04/03,127322,5171.3,298.28,32.467,457.91,2245.2,1287,5.295,7066.8,2.274,1026.1,7105.8,,,110.800759
2017/04/04,125899,5017.1,293.97,29.944,457.22,2254.9,1176.2,3.649,6589.7,1.958,1003.3,7805.7,,,110.7058227
2017/04/05,127610,5234.1,302.21,31.233,481.94,2290.6,1217.4,4.309,6714.2,1.978,1071.9,8348.2,,,110.75
2017/04/06,130921,5040.5,303.29,30.425,562.83,2137.2,1198.8,3.515,6427.4,1.826,1332.8,7777.6,,,110.9361163
2017/04/07,133714,4807.8,293.77,28.612,497.66,2211.6,1117.8,4.306,6489.9,1.995,1117.8,7632.4,,,110.9289607
2017/04/08,134180,5049.9,302.71,28.566,512.96,2241.3,1116.4,4.023,7176.5,2.136,1267.8,7630.8,,,110.9167574
2017/04/09,133218,4841.7,298.05,30.031,513.45,2290,1180.3,3.81,7570.7,2.227,1117.7,7421.6,,,110.9794074
2017/04/10,135827,4828.3,289.45,30.041,514.05,2424.5,1137,3.886,7381,2.3,1081.8,7014.1,,,110.2634903
2017/04/11,134800,4856.8,288.13,29.493,522.24,2390.3,1153.1,3.842,7141.7,2.331,1071.6,6885.6,,,109.3028114
2017/04/12,135310,4854.9,286.43,29.858,537.11,2393.6,1156.7,3.747,6994.2,2.261,1312.1,6780.4,,,109.0324986
2017/04/13,129430,5408.9,289.69,30.83,543.6,2405.5,1192.1,3.783,7075.9,2.387,1230.4,8011.5,,,108.8083258
2017/04/14,131300,5231.5,284.72,31.8,546.81,2377.6,1188.2,3.799,7369.5,2.451,1299.9,7707.3,,,108.7775203
2017/04/15,132820,5282.2,291.43,33.719,583.99,2331.1,1256.7,3.783,7995.8,2.731,1295,7965.2,,,108.7974404
2017/04/16,131927,5425.9,293.39,36.269,729.64,2296.9,1353.6,3.752,7968.1,2.654,1308.7,8527.2,,,108.7646976
2017/04/17,132310,5411.5,290.42,35.644,701.25,2352.3,1394.5,3.787,7859.2,2.833,1380.7,8500.9,,,108.5856238
2017/04/18,133436,5517.6,298.9,36.156,700.27,2282.4,1335.2,3.706,7739.3,2.93,1195.4,7860.7,,,108.5742947
2017/04/19,133430,5577.9,327.07,38.294,792.71,2266.5,1360.9,3.536,7845.7,3.835,1187.7,8219.4,,,109.0360943
2017/04/20,134770,5315.3,369.85,41.78,743.9,2272.8,1266.8,3.143,7452.8,3.41,1206.2,7831.5,,,109.1108459
2017/04/21,138041,5459.5,350.62,41.098,716.22,2269.6,1243.4,3.654,7454.2,3.225,1380.4,7937.3,,,108.2718426
2017/04/22,136350,5388.6,354.58,41.149,728.22,2249.8,1270.9,3.562,7556.9,3.551,1492.4,8004.5,,,105.1309598
2017/04/23,137138,5346.2,376.86,41.807,705.41,2217.2,1356.7,3.509,7474,3.439,1631.9,7805.7,,,102.5416221
2017/04/24,138471,5555.5,440.04,41.217,734.92,2228.2,1364.2,3.502,7714.4,3.683,1664.4,7935.8,,,101.541202
2017/04/25,140178,5572.1,448.58,44.059,761,2221.4,1534.3,3.68,7687.4,4.156,1636.5,8122.1,,,101.7061633
2017/04/26,144194,5871.6,519.28,50.764,735,2163.8,1484,3.627,8103.7,4.959,1736.2,7930.7,,,101.9595769
2017/04/27,147430,6561.4,532.62,60.293,763.37,2379.9,1513.4,3.714,8505.1,5.558,1583.4,8733.8,,,102.7698647
2017/04/28,147931,7263.4,541.83,57.569,850.44,2459.4,1656.8,4.897,9216.1,5.237,1666.6,8897.1,,,103.5208409
2017/04/29,147606,7763,588.95,58.298,901.52,2571,1696.4,5.591,9946.7,5.467,1727,10532,,,104.2372896
2017/04/30,148438,7956.3,693.36,66.586,896.56,2690.1,1886.1,5.897,10465,5.727,1771.1,10635,,,104.5195947
2017/05/01,156501,8858,740.91,68.853,907.71,2611.4,2060,6.115,10962,5.914,1795.1,10251,,,104.7790197
2017/05/02,166396,8835.8,750.44,64.543,840.13,2643.5,1890.6,6.127,10941,5.887,1829.1,10010,,,104.9712418
2017/05/03,166286,9037.6,760.09,63.516,879.65,2751.2,1859.4,6.568,10564,6.154,2135.4,10265,,,105.049985
2017/05/04,178641,10120,827.27,65.936,935.17,2986.6,1972.2,8.773,11711,7.017,2572.4,10816,,,105.7925824
2017/05/05,177965,10717,836.44,70.118,1053.7,3364.5,2021.7,11.461,12422,8.379,3139,11636,,,107.0473193
2017/05/06,176735,10410,782.06,72.461,1086.9,3234.4,1966.8,11.06,11496,8.059,2963.5,11329,,,108.3257561
2017/05/07,176838,10870,827.18,74.272,1200.7,3360.8,2058.8,14.327,11866,10.366,3335.2,11581,,,109.561722
2017/05/08,193916,10728,788.75,71.19,1180.9,3578.9,1979.7,27.73,12537,13.958,3490.5,11693,,,109.9870907
2017/05/09,208782,10221,718.48,66.859,1030.3,3420,1809.2,19.78,11498,13.631,3300.6,10943,,,110.568043
2017/05/10,216121,10720,771.06,65.359,1070,3570.1,1983.1,20.975,11895,13.177,4064,11243,,,111.3457124
2017/05/11,214831,10357,751.74,64.789,1074.1,3448.9,2065.9,21.114,11344,13.313,3634.1,10849,,,111.5301106
2017/05/12,211842,10634,751.21,74.145,1086.9,3589.3,2016,24.438,11815,14.431,3470.2,10878,,,110.8273748
2017/05/13,200626,9931,678.92,66.407,1051.1,3270.1,1918.6,22.57,11034,14.523,3197.2,10234,,,111.0450343
2017/05/14,210838,10396,712.63,68.004,1031.6,3357.2,1956,25.197,11214,15.071,3412.2,10628,,,110.8495308
2017/05/15,206009,10853,748.84,67.571,1061.8,3360,1936.2,29.939,11281,14.524,3145.4,10353,,,110.4859048
2017/05/16,207797,10421,709,63.276,1051.2,3221,1815.9,38.858,10818,13.922,2899.7,10318,,,108.0088331
2017/05/17,221267,10530,691.57,66.38,1031.9,3253.6,1774.3,45.36,10645,14.5,3033.8,10069,,,106.8958763
2017/05/18,219697,10741,696.69,66.7,1040.7,3412.4,1968.5,40.479,11015,20.052,3020,10045,,,107.3759202
2017/05/19,233914,13584,853.61,84.539,1226.4,3761.3,1976.6,42.011,12397,27.705,3295.1,11134,,,109.5449985
2017/05/20,239750,14899,865.04,86.89,1241.6,3856.7,2059.5,42.771,12910,27.403,3239,12467,,,110.9382247
2017/05/21,257456,17261,912.68,104.42,1287.4,4362.4,2246.8,43.196,13681,29.862,3422.4,12505,,,110.750513
2017/05/22,287510,21880,1082.3,99.332,1395.9,4705.7,2438.1,42.468,27026,32.891,3277.6,16503,,,112.09167
2017/05/23,301280,21783,1241.3,116.37,1733,5620.5,3314.1,46.135,32237,33.689,3715.1,17715,,,112.74125
2017/05/24,299341,24247,1969.6,179,2028.9,6972.4,3733.1,41.453,32330,32.754,3944.7,18439,,,113.32678
2017/05/25,334100,24723,2352.5,176.1,1835.3,6122.7,3775.5,33.176,30103,28.736,3993.4,17220,,,114.90886
2017/05/26,273521,20541,1905.9,151.13,1548.1,4666.3,2924.5,33.463,25146,24.576,3169.5,14975,,,114.90886
2017/05/27,234498,17441,1474,113.96,1219.9,3864.8,2331.1,23.637,20941,18.511,2626.4,11752,,,115.46667
2017/05/28,266311,20506,1802.2,123.15,1448,4380.8,2708,26.282,23321,22.964,2830,13132,,,114.56381
2017/05/29,264700,21144,1858.3,120.64,1461.9,4994.7,2513.5,27.926,22822,24.231,2943.5,13394,,,114.366565
2017/05/30,270013,23729,1965.8,135.55,1538.4,5229.2,2699.4,26.461,27123,24.668,3014.7,14134,,,112.4614925
2017/05/31,267874,27805,2011.7,141.17,1457.7,4963.9,2555.5,26.967,28042,22.641,2940.6,15802,,,113.8242
2017/06/01,274190,24753,1892.4,143.29,1508,5143.3,2733,34.359,28083,24.902,3238.5,15601,,,114.7861575
2017/06/02,272900,25249,1870.5,143.84,1545.9,4988.7,2719.6,32.421,27702,24.943,3078.7,15743,,,113.6771125
2017/06/03,279471,24354,1802.6,149.42,1712,4809.7,2822.8,31.991,25739,24.923,3043.4,16233,,,113.6771125
2017/06/04,285456,27719,1929.7,157,1861.2,4887.7,3040.4,32.787,27147,24.235,3109.1,15957,,,112.046865
2017/06/05,293587,27629,1908.3,181.42,2548.3,5197.6,3507,32.635,29101,25.683,3250.6,16412,,,111.5723525
2017/06/06,315201,29436,1940.5,193.62,3798.2,5802.9,3494.9,32.024,28496,25.27,3333.9,16264,,,110.700545
2017/06/07,307570,28559,1959.2,284.07,3291,6158.3,4104.8,31.495,30695,24.701,3276.2,16763,,,110.470605
2017/06/08,298387,27959,1873.9,292.89,3018.8,5876.1,3950.6,31.181,29687,23.071,3139,15639,,,111.23837
2017/06/09,314195,29546,1907.2,358.18,3175.4,6287,3943.1,31.696,30257,24.545,3342.8,16549,,,110.137
2017/06/10,319905,32389,1953.7,457.46,2847.2,6046.2,3683.5,30.039,31974,22.387,3304.6,16446,,,111.1920023
2017/06/11,320101,36972,2247.5,391.48,3174,6216,3730.2,29.715,34827,24.321,3479.5,21321,,,111.778905
2017/06/12,317842,44889,2315.7,380.85,2991.2,6133.7,3559.8,28.924,37539,23.813,3386.4,20738,,,111.648985
